Title,Company,Location,Link
Performance Analyst,Wolt,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/performance-analyst-at-wolt-4252359661?position=1&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=7WPxQY6ImzwGicCec6%2FYkg%3D%3D
Data Analyst (m/f/d),Moonfare,"Berlin, Germany",https://de.linkedin.com/jobs/view/data-analyst-m-f-d-at-moonfare-4295685367?position=2&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=JZVVexbsSQd%2Bv7sI0bZxIg%3D%3D
Marketing Data Analyst,Trust In SODA,"Berlin, Germany",https://de.linkedin.com/jobs/view/marketing-data-analyst-at-trust-in-soda-4288782308?position=3&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=Qt1ZHgdbX%2BaV1TUzvjLnrw%3D%3D
Marketing Data Analyst (m/f/d),Pflegia,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/marketing-data-analyst-m-f-d-at-pflegia-4295365335?position=4&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=D0wkB9kCbQHQa7ObgzoOEA%3D%3D
Data Analyst,mrge,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/data-analyst-at-mrge-4279879069?position=5&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=%2FV1Sg1j%2BWzvKjIblBMrmgA%3D%3D
Game Data Analyst - All in Hole,Homa,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/game-data-analyst-all-in-hole-at-homa-4291256265?position=6&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=nc7bBIO%2BtRWt%2F7M8STAs7g%3D%3D
Junior AI Data Analyst (all genders),Zalando,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/junior-ai-data-analyst-all-genders-at-zalando-4297639074?position=7&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=4aYevA7EoimHipCIv6v2zg%3D%3D
Senior Data Analyst,SoundCloud,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/senior-data-analyst-at-soundcloud-4278378239?position=8&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=NpzVEM6EwhGKz7hwTxUuGA%3D%3D
Product Data Analyst,Deel,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/product-data-analyst-at-deel-4292421121?position=9&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=vKq9QXeO7QJ5hdLrbHMp1w%3D%3D
Sales Data Analyst (Part-Time),Lovehoney Group,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/sales-data-analyst-part-time-at-lovehoney-group-4259386830?position=10&pageNum=0&refId=yb0%2BtPkX0A1yqyVSvYDLSw%3D%3D&trackingId=CTIyRjkq6yban5mP3p9LHw%3D%3D
